2020-07-14 14:00:45.040310,32.99,1008.11,55.63,130.0058,02:5f
2020-07-14 14:01:45.075368,32.00,1008.07,55.14,0,02:5f
2020-07-14 14:02:45.106425,31.90,1008.04,54.20,135.8304,02:5f
2020-07-14 14:03:45.130638,31.85,1008.01,56.38,140.2033,02:5f
2020-07-14 14:04:45.162512,31.81,1008.03,56.99,144.5680,02:5f
2020-07-14 14:05:45.215481,31.84,1008.02,56.86,153.7728,02:5f
2020-07-14 14:06:45.422625,31.88,1008.01,55.69,219.8704,02:5f
2020-07-14 14:07:45.448729,31.86,1007.98,54.79,232.0421,02:5f
2020-07-14 14:08:45.566619,31.83,1007.99,54.98,237.4800,02:5f
2020-07-14 14:09:45.651382,31.87,1008.06,55.45,270.1196,02:5f
2020-07-14 14:10:45.651073,31.93,1008.03,54.97,278.1618,02:5f
2020-07-14 14:11:45.793567,31.94,1008.09,56.39,286.8844,02:5f
2020-07-14 14:12:45.806830,31.98,1008.05,55.91,293.7791,02:5f
2020-07-14 14:13:45.862450,31.93,1008.08,55.61,302.6427,02:5f
2020-07-14 14:14:45.916178,31.87,1008.09,55.54,311.1202,02:5f
2020-07-14 14:15:45.974497,31.79,1008.13,56.13,318.5240,02:5f
2020-07-14 14:16:46.030273,31.75,1008.17,55.95,328.7972,02:5f
2020-07-14 14:17:46.161603,31.75,1008.20,55.57,394.3196,02:5f
2020-07-14 14:18:46.289552,31.71,1008.14,55.83,459.8262,02:5f
2020-07-14 14:19:46.372740,31.78,1008.18,55.75,466.7892,02:5f
2020-07-14 14:20:46.408268,31.79,1008.19,55.19,470.9932,02:5f
2020-07-14 14:21:46.475508,31.80,1008.16,55.91,480.4591,02:5f
2020-07-14 14:21:46.475508,31.80,1008.16,55.91,480.4591,02:5f
2020-07-14 14:21:46.475508,31.80,1008.16,55.91,480.4591,02:5f
